PerceptionOfWeight,WeightPerception,sample_size,mean_bmipct,sd_bmipct,median_bmipct,min_bmipct,max_bmipct,standard_error,t_critical,ci_95,ci_lower,ci_upper
1,Very underweight,207,45.50369854847826,35.019935255018154,41.49272193,2.25e-06,99.75215075,2.4340537600056016,1.9715466694432429,4.798850583784846,40.704847964693414,50.30254913226311
2,Slightly underweight,1436,36.53321739251462,25.777644502398154,31.07256054,2.64e-06,99.79839388,0.6802460210020702,1.9616185067491112,1.3343831839401055,35.19883420857452,37.86760057645473
3,About the right weight,7351,59.71389983191004,24.27633210666037,62.64228578,3.72e-09,99.73470132,0.2831456270843157,1.9602867947837312,0.5550466337741429,59.1588531981359,60.26894646568418
4,Slightly overweight,3318,84.98896468903646,16.426504586489642,90.885854865,1.09e-06,99.93921341,0.2851720570968944,1.960679426922245,0.5591309854829767,84.42983370355348,85.54809567451944
5,Very overweight,541,92.2985779961294,14.953480414399074,98.17645843,6.550834406,99.92595141,0.6429003373889441,1.964366775011532,1.262892062410546,91.03568593371885,93.56147005853994
