WeightPerception,n,mean,sd,median
Very underweight,207,45.50369854847826,35.019935255018154,41.49272193
Slightly underweight,1436,36.53321739251462,25.777644502398154,31.07256054
About the right weight,7351,59.71389983191004,24.27633210666037,62.64228578
Slightly overweight,3318,84.98896468903646,16.426504586489642,90.885854865
Very overweight,541,92.2985779961294,14.953480414399074,98.17645843
