PerceptionOfWeight,WeightPerception,sample_size,mean_bmipct,sd_bmipct,median_bmipct,min_bmipct,max_bmipct
1,Very underweight,207,45.50369854847826,35.019935255018154,41.49272193,2.25e-06,99.75215075
2,Slightly underweight,1436,36.53321739251462,25.777644502398154,31.07256054,2.64e-06,99.79839388
3,About the right weight,7351,59.71389983191004,24.27633210666037,62.64228578,3.72e-09,99.73470132
4,Slightly overweight,3318,84.98896468903646,16.426504586489642,90.885854865,1.09e-06,99.93921341
5,Very overweight,541,92.2985779961294,14.953480414399074,98.17645843,6.550834406,99.92595141
